                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0178,                 1.4635,                 1.5018,                0.42874,                0.57692,                 0.4347,                0.15024,                 2.1578,                 2.0316,                 3.2532,             0.00066173,             0.00066173,             0.00066173
                      2,                0.90706,                0.99933,                 1.3934,                0.02418,                0.37981,                0.01789,                0.00541,                 2.9328,                 64.817,                 3.9082,              0.0013152,              0.0013152,              0.0013152
                      3,                0.89696,                0.96157,                 1.3848,                0.33286,                0.38462,                0.23565,                0.06994,                 2.8221,                  2.236,                 3.4269,              0.0019556,              0.0019556,              0.0019556
                      4,                0.85844,                0.90577,                 1.3466,                0.46995,                0.51442,                0.42383,                0.13154,                 2.2678,                 2.8024,                 3.0557,              0.0019406,              0.0019406,              0.0019406
                      5,                0.80735,                0.84555,                 1.3109,                0.53465,                0.40865,                0.44788,                0.17471,                 1.9314,                 2.1057,                 2.7311,              0.0019406,              0.0019406,              0.0019406
                      6,                0.76068,                0.82769,                 1.2879,                0.59535,                0.55881,                0.56905,                0.21756,                 2.0193,                 1.6436,                 2.6736,              0.0019208,              0.0019208,              0.0019208
                      7,                0.74545,                0.79026,                 1.2777,                0.69659,                0.68269,                0.65555,                0.26497,                 1.8852,                  1.485,                 2.5856,               0.001901,               0.001901,               0.001901
                      8,                0.69663,                0.72241,                 1.2371,                0.66178,                0.62086,                0.63424,                0.28915,                 1.8025,                 1.5173,                 2.6767,              0.0018812,              0.0018812,              0.0018812
                      9,                0.70206,                0.71309,                 1.2393,                0.66186,                0.73558,                0.65606,                0.25605,                  1.786,                 1.5492,                 2.5511,              0.0018614,              0.0018614,              0.0018614
                     10,                0.68723,                0.69048,                 1.2323,                0.71145,                 0.7231,                0.71537,                 0.3081,                 1.7898,                 1.4142,                 2.6679,              0.0018416,              0.0018416,              0.0018416
                     11,                0.68371,                0.69133,                 1.2299,                0.60423,                0.68262,                0.63781,                0.25333,                  1.892,                 1.6069,                 2.6011,              0.0018218,              0.0018218,              0.0018218
                     12,                0.66478,                0.68588,                 1.2154,                0.79698,                0.67942,                 0.7536,                0.35277,                  1.703,                 1.2616,                 2.3183,               0.001802,               0.001802,               0.001802
                     13,                0.65863,                0.65582,                 1.2105,                0.58418,                0.65865,                0.56247,                0.23649,                 1.7239,                 1.6743,                 2.3665,              0.0017822,              0.0017822,              0.0017822
                     14,                0.65212,                0.64539,                 1.2014,                0.73979,                0.73077,                0.74605,                0.36627,                 1.7354,                 1.2171,                 2.3826,              0.0017624,              0.0017624,              0.0017624
                     15,                0.62323,                0.62383,                 1.1945,                0.79313,                0.75572,                0.77172,                0.40719,                 1.5515,                 1.1305,                 2.2159,              0.0017426,              0.0017426,              0.0017426
                     16,                0.61626,                0.59698,                 1.1834,                0.77102,                0.62019,                 0.7292,                 0.3322,                 1.7494,                 1.2776,                 2.4243,              0.0017228,              0.0017228,              0.0017228
                     17,                0.61678,                  0.595,                  1.175,                0.66693,                0.73162,                 0.7072,                0.35568,                 1.5702,                  1.283,                 2.1452,               0.001703,               0.001703,               0.001703
                     18,                0.59796,                0.57306,                 1.1653,                0.73799,                0.73077,                0.74037,                 0.3742,                 1.5877,                 1.1776,                 2.2597,              0.0016832,              0.0016832,              0.0016832
                     19,                0.60492,                0.58155,                 1.1621,                0.78165,                 0.8089,                0.80037,                0.42057,                 1.5573,                 1.0963,                 2.1843,              0.0016634,              0.0016634,              0.0016634
                     20,                0.56946,                0.55905,                 1.1423,                0.80955,                 0.8125,                0.81929,                0.43468,                  1.437,                 1.1834,                 2.0987,              0.0016436,              0.0016436,              0.0016436
                     21,                0.56963,                0.55492,                 1.1467,                0.75509,                0.77885,                  0.772,                0.38753,                  1.579,                 1.1375,                 2.3105,              0.0016238,              0.0016238,              0.0016238
                     22,                0.57697,                0.55884,                 1.1544,                0.68104,                0.69712,                0.71036,                0.36778,                 1.5199,                 1.2548,                 2.0947,               0.001604,               0.001604,               0.001604
                     23,                  0.566,                0.54287,                 1.1468,                0.85466,                0.82692,                0.82622,                0.48668,                 1.3527,                0.96789,                 1.9825,              0.0015842,              0.0015842,              0.0015842
                     24,                0.56403,                0.53842,                   1.14,                0.80868,                0.73155,                0.76499,                0.40411,                 1.4383,                    1.2,                 2.1187,              0.0015644,              0.0015644,              0.0015644
                     25,                0.54251,                0.51494,                 1.1297,                0.76536,                0.80769,                0.81465,                0.49583,                 1.3391,                 0.9754,                 1.9937,              0.0015446,              0.0015446,              0.0015446
                     26,                0.55456,                0.51686,                 1.1384,                0.82364,                0.76442,                0.78449,                0.36998,                 1.6485,                 1.1311,                   2.43,              0.0015248,              0.0015248,              0.0015248
                     27,                0.54099,                0.51233,                 1.1296,                0.87062,                0.77885,                0.85442,                0.48973,                 1.4059,                0.94957,                 2.0197,               0.001505,               0.001505,               0.001505
                     28,                0.52772,                0.49224,                 1.1111,                0.78473,                0.73608,                0.78996,                0.39451,                 1.7103,                 1.1338,                 2.3458,              0.0014852,              0.0014852,              0.0014852
                     29,                0.53895,                0.50122,                  1.124,                0.82147,                0.75215,                0.82161,                 0.4695,                 1.3702,                0.99516,                 1.9409,              0.0014654,              0.0014654,              0.0014654
                     30,                 0.5426,                0.51216,                 1.1304,                0.80225,                0.76068,                0.77836,                0.44306,                 1.4344,                 1.0976,                 2.1371,              0.0014456,              0.0014456,              0.0014456
                     31,                0.52612,                 0.4922,                 1.1195,                0.83117,                 0.8521,                 0.8358,                0.48649,                 1.3712,                0.89887,                 1.9908,              0.0014258,              0.0014258,              0.0014258
