                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.41145,                0.43265,                 1.0424,                0.78347,                0.81762,                0.81987,                 0.4943,                 1.4024,                 0.9864,                 2.1891,             0.00067016,             0.00067016,             0.00067016
                     36,                0.41889,                0.44194,                 1.0547,                0.79131,                0.82034,                0.78907,                0.43487,                 1.5288,                 1.1149,                 2.3725,             0.00066017,             0.00066017,             0.00066017
                     37,                 0.4447,                  0.469,                 1.0654,                0.80878,                   0.75,                0.76806,                0.43891,                 1.5052,                 1.0868,                 2.3214,             0.00065018,             0.00065018,             0.00065018
                     38,                0.42475,                0.45014,                 1.0482,                0.85016,                0.75481,                0.79826,                0.42442,                 1.5725,                 1.1413,                 2.4686,             0.00064018,             0.00064018,             0.00064018
                     39,                  0.423,                0.45264,                 1.0447,                0.79093,                0.76442,                0.78868,                0.49418,                 1.3618,                 1.0264,                 2.0624,             0.00063019,             0.00063019,             0.00063019
                     40,                0.41974,                0.43186,                 1.0456,                0.78647,                 0.8125,                0.80241,                0.48629,                 1.3424,                 1.1302,                 2.1026,             0.00062019,             0.00062019,             0.00062019
                     41,                0.39573,                0.42993,                  1.032,                0.77582,                0.76923,                0.79794,                0.46115,                 1.4935,                 1.1325,                 2.3314,             0.00061019,             0.00061019,             0.00061019
                     42,                0.43685,                0.44321,                 1.0554,                0.80495,                0.76923,                 0.8122,                0.51466,                 1.3449,                0.96047,                 2.1051,              0.0006002,              0.0006002,              0.0006002
                     43,                0.39911,                0.41897,                 1.0331,                 0.8529,                0.77885,                0.81506,                0.46402,                  1.429,                 1.1039,                 2.2424,             0.00059021,             0.00059021,             0.00059021
                     44,                0.41136,                0.42421,                  1.042,                0.79427,                0.81731,                0.82173,                0.50496,                   1.37,                 1.0711,                 2.1844,             0.00058021,             0.00058021,             0.00058021
