                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                  1.204,                 1.4208,                 1.6618,                0.43303,                0.52841,                0.34885,                0.10078,                 2.2925,                 2.4984,                 3.1723,               0.006634,               0.006634,               0.006634
                     37,                 1.1663,                 1.3418,                 1.6167,                0.38499,                0.42614,                0.27511,                0.07759,                 2.5177,                  2.657,                 3.7299,               0.006535,               0.006535,               0.006535
                     38,                 1.1529,                 1.3263,                 1.6265,                0.29601,                0.45455,                0.22645,                0.07384,                 2.3857,                 2.8375,                 3.8942,               0.006436,               0.006436,               0.006436
                     39,                 1.1266,                 1.3257,                  1.592,                0.37845,                0.38636,                 0.3115,                0.09741,                 2.3152,                 2.2814,                 3.2284,               0.006337,               0.006337,               0.006337
                     40,                 1.1478,                 1.3309,                  1.598,                0.40756,                0.35227,                0.28152,                0.08157,                  2.234,                 2.4878,                 2.9541,               0.006238,               0.006238,               0.006238
                     41,                 1.0737,                  1.216,                 1.5205,                0.49901,                0.46023,                0.40681,                0.13829,                 2.2541,                 2.2234,                  3.095,               0.006139,               0.006139,               0.006139
                     42,                 1.0438,                 1.2114,                 1.4922,                0.47037,                0.49452,                0.38072,                0.12526,                 2.4309,                 2.1049,                 3.5953,                0.00604,                0.00604,                0.00604
                     43,                 1.0404,                 1.1902,                 1.5136,                0.34199,                0.49316,                0.31796,                0.09317,                 2.5015,                 2.4852,                 3.6671,               0.005941,               0.005941,               0.005941
                     44,                 1.0436,                 1.2032,                 1.5009,                0.36544,                 0.4352,                0.30257,                0.10374,                 2.2108,                 2.4981,                 3.1658,               0.005842,               0.005842,               0.005842
                     45,                 1.0399,                 1.2246,                 1.5296,                0.44937,                0.48864,                0.36077,                0.10673,                 2.4162,                  2.538,                 3.5625,               0.005743,               0.005743,               0.005743
                     46,                 1.0448,                 1.1873,                 1.5057,                0.25975,                0.47727,                0.22859,                0.06477,                 2.5319,                 2.7593,                 3.5367,               0.005644,               0.005644,               0.005644
                     47,                  1.031,                 1.1872,                 1.5018,                0.54895,                 0.5625,                0.46536,                0.14125,                 2.2754,                 2.2185,                 3.1651,               0.005545,               0.005545,               0.005545
                     48,                 1.0211,                 1.1543,                 1.4797,                0.36241,                0.39773,                 0.3001,                0.08839,                 2.3897,                 2.1653,                 3.1362,               0.005446,               0.005446,               0.005446
                     49,                 1.0067,                 1.1733,                 1.4634,                0.23107,                0.22159,                0.15277,                0.04736,                 2.1536,                 2.7879,                 2.9551,               0.005347,               0.005347,               0.005347
                     50,                0.98677,                 1.1459,                 1.4664,                0.41201,                0.50568,                0.33588,                0.10078,                 2.3911,                  2.303,                 3.6688,               0.005248,               0.005248,               0.005248
                     51,                0.95005,                 1.0959,                 1.4266,                0.54359,                0.46591,                0.39863,                0.11964,                 2.2165,                 2.1613,                 3.1115,               0.005149,               0.005149,               0.005149
                     52,                0.92032,                 1.0597,                 1.4187,                0.49282,                0.50568,                0.39382,                0.12554,                 2.2477,                 2.2993,                 3.1751,                0.00505,                0.00505,                0.00505
                     53,                0.94293,                  1.099,                 1.4038,                0.40669,                0.42045,                0.29778,                0.09581,                 2.2921,                 2.4327,                 3.2184,               0.004951,               0.004951,               0.004951
                     54,                0.94255,                 1.1133,                 1.4266,                0.45938,                0.48295,                0.31853,                0.10492,                 2.4633,                 2.4228,                 3.6991,               0.004852,               0.004852,               0.004852
                     55,                0.89672,                  1.035,                 1.4131,                0.54469,                0.44862,                0.39659,                0.11495,                 2.2859,                 2.2855,                 3.2141,               0.004753,               0.004753,               0.004753
                     56,                0.86388,                 1.0129,                 1.3596,                0.57004,                0.55682,                0.48759,                0.15802,                  2.315,                 1.9823,                 3.4261,               0.004654,               0.004654,               0.004654
                     57,                0.96089,                  1.163,                 1.4258,                 0.4969,                0.50568,                 0.3918,                0.12575,                 2.2011,                   2.16,                 3.0842,               0.004555,               0.004555,               0.004555
                     58,                0.87673,                0.99829,                 1.3887,                0.50942,                0.48295,                0.43548,                0.13663,                 2.2933,                 2.0618,                  2.968,               0.004456,               0.004456,               0.004456
                     59,                0.92766,                 1.0906,                 1.4149,                 0.5458,                0.50568,                0.41129,                0.14026,                 2.2654,                   2.01,                 3.1531,               0.004357,               0.004357,               0.004357
                     60,                0.82766,                 1.0097,                 1.3497,                0.53814,                0.50568,                0.41844,                0.13775,                 2.2056,                 2.1045,                 3.3921,               0.004258,               0.004258,               0.004258
                     61,                0.88152,                 1.0432,                  1.391,                0.53201,                0.53409,                0.47368,                0.15361,                 2.2145,                  2.074,                 3.0193,               0.004159,               0.004159,               0.004159
                     62,                0.84085,                 1.0201,                 1.3503,                0.43743,                0.47727,                0.35492,                0.10855,                 2.2451,                 2.1892,                 3.0263,                0.00406,                0.00406,                0.00406
                     63,                0.87754,                 1.0017,                 1.3857,                0.55002,                0.58523,                 0.5123,                0.16778,                 2.1041,                 1.8978,                   2.92,               0.003961,               0.003961,               0.003961
                     64,                0.85107,                 1.0426,                 1.3676,                0.55102,                0.40341,                0.33122,                 0.1063,                  2.429,                 2.3419,                 3.5551,               0.003862,               0.003862,               0.003862
                     65,                0.86752,                 1.0229,                 1.3654,                0.52311,                0.48615,                0.40732,                0.14358,                 2.2807,                 2.1439,                 3.1319,               0.003763,               0.003763,               0.003763
                     66,                0.82182,                0.95872,                 1.3489,                0.54126,                0.53631,                0.42267,                0.13418,                 2.3261,                 1.9327,                 3.3964,               0.003664,               0.003664,               0.003664
                     67,                0.85617,                 1.0413,                 1.3564,                 0.5201,                0.44886,                0.38919,                0.13492,                   2.15,                 1.9597,                 3.1799,               0.003565,               0.003565,               0.003565
                     68,                 0.7726,                0.93941,                 1.3002,                0.54169,                0.53724,                0.40112,                0.14385,                 2.1383,                 1.9913,                 3.2074,               0.003466,               0.003466,               0.003466
                     69,                0.75981,                0.92374,                 1.2938,                0.48199,                0.44886,                0.36073,                0.13078,                 2.1325,                 2.1116,                 3.0076,               0.003367,               0.003367,               0.003367
                     70,                0.78399,                0.89275,                 1.2962,                0.47386,                 0.5625,                0.42393,                 0.1336,                 2.2167,                 2.0608,                 3.0865,               0.003268,               0.003268,               0.003268
                     71,                 0.7867,                0.91423,                 1.2993,                0.44659,                0.48864,                0.32656,                0.12491,                 2.2671,                 2.0629,                 3.7581,               0.003169,               0.003169,               0.003169
                     72,                0.78435,                0.91595,                 1.3001,                0.58485,                0.53409,                  0.505,                0.17476,                 2.1367,                 1.8443,                 3.0173,                0.00307,                0.00307,                0.00307
                     73,                0.80553,                0.92968,                 1.3194,                0.55082,                0.50864,                0.45767,                0.14591,                 2.3198,                 2.5363,                  3.157,               0.002971,               0.002971,               0.002971
                     74,                0.76481,                0.93354,                 1.2912,                0.49924,                0.51705,                0.45712,                0.16171,                 2.0477,                 1.8572,                 2.8045,               0.002872,               0.002872,               0.002872
                     75,                 0.8138,                0.93168,                 1.3438,                0.56221,                0.59833,                0.48038,                0.16062,                 2.1952,                 1.9471,                 3.0749,               0.002773,               0.002773,               0.002773
                     76,                 0.7623,                0.89666,                 1.2849,                0.50951,                0.57386,                 0.4499,                0.16015,                 2.2008,                 1.8012,                 3.0475,               0.002674,               0.002674,               0.002674
                     77,                0.81272,                0.92189,                 1.3254,                0.63951,                0.60795,                0.52836,                0.19595,                  2.106,                 1.8029,                 3.0128,               0.002575,               0.002575,               0.002575
                     78,                0.71361,                0.86516,                 1.2664,                0.58562,                0.56818,                0.45038,                0.15709,                 2.1433,                 2.0257,                 3.2335,               0.002476,               0.002476,               0.002476
                     79,                 0.7893,                0.91417,                 1.3196,                 0.5929,                0.47727,                0.49465,                0.18778,                 2.0924,                 1.6858,                 2.8775,               0.002377,               0.002377,               0.002377
                     80,                0.77055,                0.92482,                  1.281,                0.52273,                0.51136,                0.45365,                0.17682,                 2.1169,                 1.6756,                 2.9189,               0.002278,               0.002278,               0.002278
                     81,                0.70776,                0.85997,                 1.2489,                0.60286,                0.59091,                0.50038,                0.19278,                 2.1343,                  1.713,                 3.2315,               0.002179,               0.002179,               0.002179
                     82,                0.72545,                0.87477,                 1.2628,                0.60813,                0.60227,                0.54055,                0.18015,                 2.0779,                 1.8149,                 2.8579,                0.00208,                0.00208,                0.00208
                     83,                0.71047,                  0.876,                 1.2796,                0.55286,                0.60795,                0.49227,                0.17059,                 2.2733,                 1.8061,                 3.2021,               0.001981,               0.001981,               0.001981
                     84,                0.72015,                0.90888,                 1.2599,                0.62653,                0.53409,                0.49849,                0.17707,                 2.0405,                 1.7217,                 2.8374,               0.001882,               0.001882,               0.001882
                     85,                0.71475,                0.88386,                 1.2683,                0.56112,                0.51578,                0.44142,                0.16805,                  2.142,                 1.8352,                 3.1846,               0.001783,               0.001783,               0.001783
                     86,                0.71388,                0.87389,                 1.2738,                0.61493,                0.53977,                 0.5446,                0.18598,                 2.1245,                 1.7642,                 3.0699,               0.001684,               0.001684,               0.001684
                     87,                0.69982,                0.84511,                 1.2707,                0.57452,                0.56006,                0.53548,                0.18099,                 2.0703,                 1.7507,                 2.8349,               0.001585,               0.001585,               0.001585
                     88,                0.73986,                0.86509,                 1.2763,                0.57817,                0.56818,                0.49489,                0.17241,                 2.1745,                 1.6763,                 3.0551,               0.001486,               0.001486,               0.001486
