                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.46724,                0.42528,                 1.0762,                0.85157,                0.90865,                 0.8578,                0.58543,                 1.1243,                0.75068,                 1.7253,              0.0006932,              0.0006932,              0.0006932
                     36,                0.47235,                0.43122,                  1.077,                 0.8674,                0.85096,                0.85556,                0.56068,                 1.1671,                  0.789,                 1.7613,              0.0006536,              0.0006536,              0.0006536
                     37,                0.46541,                0.42482,                 1.0716,                0.86353,                0.91262,                0.87944,                0.60306,                 1.1376,                 0.7586,                 1.7227,               0.000614,               0.000614,               0.000614
                     38,                0.43902,                0.41196,                 1.0595,                0.85682,                0.87981,                0.88461,                0.59287,                  1.168,                0.81042,                 1.7631,              0.0005744,              0.0005744,              0.0005744
                     39,                0.46235,                0.42175,                 1.0679,                0.85242,                0.87981,                0.85152,                0.59039,                 1.1325,                0.74346,                 1.7203,              0.0005348,              0.0005348,              0.0005348
                     40,                0.43188,                0.39931,                 1.0541,                0.85798,                0.90865,                0.87857,                0.62071,                 1.0273,                 0.7305,                  1.618,              0.0004952,              0.0004952,              0.0004952
                     41,                0.39314,                0.32699,                 1.0637,                0.88826,                 0.9172,                0.88143,                0.62032,                 1.0464,                0.67931,                 1.6431,              0.0004556,              0.0004556,              0.0004556
                     42,                0.38312,                0.30875,                 1.0567,                0.86691,                0.88462,                0.86583,                0.59833,                 1.0872,                0.70948,                 1.6733,               0.000416,               0.000416,               0.000416
                     43,                0.37808,                0.29892,                 1.0456,                0.87952,                0.90865,                0.88171,                0.63273,                0.97457,                 0.6596,                 1.5991,              0.0003764,              0.0003764,              0.0003764
                     44,                0.36642,                0.29462,                 1.0396,                0.89854,                0.89423,                0.89972,                0.65014,                0.96048,                0.63856,                 1.5605,              0.0003368,              0.0003368,              0.0003368
                     45,                0.34586,                0.27407,                 1.0193,                0.88568,                0.89396,                0.89415,                0.65294,                0.94396,                0.64206,                  1.548,              0.0002972,              0.0002972,              0.0002972
                     46,                0.34089,                0.27164,                 1.0115,                0.92448,                0.89904,                0.90254,                0.65303,                0.96623,                0.62352,                 1.5529,              0.0002576,              0.0002576,              0.0002576
                     47,                0.33373,                0.26177,                 1.0081,                0.89092,                0.91827,                0.89458,                0.67852,                0.88785,                0.58807,                 1.4854,               0.000218,               0.000218,               0.000218
                     48,                0.31723,                0.25392,                0.99552,                0.90209,                0.92308,                0.90686,                0.68635,                0.89732,                0.60155,                 1.4928,              0.0001784,              0.0001784,              0.0001784
                     49,                0.31598,                0.25691,                 1.0006,                0.88517,                0.91346,                0.90069,                0.67473,                0.90119,                0.60406,                 1.4908,              0.0001388,              0.0001388,              0.0001388
                     50,                0.29953,                0.24294,                0.98116,                0.88465,                0.92179,                0.90721,                 0.6902,                0.85717,                0.60139,                 1.4594,               9.92e-05,               9.92e-05,               9.92e-05
